USC00026037          25S    27S    27S    17S     4S     2S    15S    20S    19S    16S    16S    22S
USC00026119          16S    18C    16C     6C     1S     1S    23S    25S    13S    11S    11S    17S
USC00026132           7C     5C     7C     2C     0C     1C    10C    18C     5C     3C     3C     8S
USC00026180           3S     1S     2S     3S     1S     0S     3S     3S     3S     5S     1S     1S
USC00026190           2S     3S     3S     1C     1S     1S     7S     8S     8S     6S     2S     5S
USC00026250           4S     4C     3C     1C     1S     0S     2S     3S     3S     2S     3S     5S
USC00026282           8C     6C     6C     4C     1C     3S    28C    31C     8C     6C     6S    11S
USC00026328           3P     6P     7P     4P     1P     1P     5P    11P     6P     4P     4P     4P
USC00026353           4P     2P     2P -7777P     1P     3P    17P    24P     8P     5P     3P     3P
USC00026468           2S     1C     1C     2C     1C     1C    11C    11C     7C     5C     2C     3S
USC00026471           5S     3C     3C     2C     2C -7777C     3S    10S     5S     6S     5S     3C
USC00026513           7P     8P     6P     3P     1P     1P     7P    13P     5P     4P     4P     9P
USC00026597           9P     9P     8P     4P     2P     1P    18P    26P    16P    12P    11P    11P
USC00026601          16C    16C    14C     5C     3C     2C    18S    24C    15C    13C    12C    17C
USC00026616           7S     8S     4C     3C     1C     1C     6S     9C     5C     6C     3C     3C
USC00026653          16S    15S    17C     7S     2S     2S    20S    24S    13S     9C    12S    12S
USC00026716          11S     8C     8C     4C     2C     7C    30C    29C    18S    10C     9S    14S
USC00026796           9S    13C     8S     4S     2C     2C    17C    21C    12C     7S     7C     9C
USC00026840          15S    15S    15C     4S     1S -7777S     9S    14S     9S     8S     9S    13S
USC00026865           4P     5P     2P     1P -7777P     0P     2P     3P     2P     2P     1P     4P
USC00027036          10S    11S     9S     2S     3S     1S    20S    20S    10S     7S     5S    10S
USC00027281          15C    12C    13S     3S     2C     0S     9S    13C     9C     7C    10S    14C
USC00027334           8S     8S     8S     3S     3S     6S    33S    32C    11S     9S    11S    14S
USC00027370           4P     5S     7P     3S -7777S     0P     7P     9P     3P     4P     4P     7P
USC00027390           2C     3C     3C     2C     1C     1C     8C    12C     6C     5C     2S     4C
USC00027435           3S     2C     1S     1C     1C -7777S    11C    15C     7C     7C     3S     4C
USC00027462           8P     8P     3P     2P     0P     0P     9P     5P     2P     1P     1P     6P
USC00027480          10S    13S    10S     2P     1P -7777P     8P    13P     9S     6P     5P    11S
USC00027488           4S     3S     5S     2S     2S     1C     7S    10S     5S     6S     6S     3S
USC00027530           6S     9S     5S     2S     1C     1S    15S    18S     7C     5S     3S     4S
USC00027560           6P     6P     2P     2P -7777P     4P    13P    17P     5P     7P     4P     7P
