USC00023190           3C     3C     3C -7777C     0C     0C     1C     3C     2C     1S     2C     3C
USC00023393       -7777C     1C     1C -7777C     1C     0C     2C     2C     1C -7777C     1C     1S
USC00023448           6C     4C     3C -7777C     0C     0C     2C     3C     4C     3C     4C     4C
USC00023505           1P     2P     2P     1P     0P -7777P     4P     7P     1P     4P     1P     2P
USC00023596           2S     2S     1S     1S -7777S -7777S     4S     3S     2S     4S     1S     2S
USC00023668       -7777P -7777P -7777P -7777P     0P -7777P     6P     7P     3P     4P     1P     1P
USC00023683       -7777S -7777S     1S     0S     0S     1C     6S     8S     4C     3C     3S     2S
USC00024053           6P     6P     4P     1P     0P     0P     2P     5P     4P     3P     4P     2P
USC00024089           0C     1C -7777S     0C     0C     0C     1S     2S     1S     1S -7777S     2S
USC00024182           5C     5C     3C     1C     0C -7777S     3S     3C     3C     3C     2C     5S
USC00024391           4P     7P     5P     3P -7777P -7777P     4P     9P     5P     6P     4P     5P
USC00024453           2S     4C     3S -7777S     1S     1S     4S     7S     5S     3S     3S     2S
USC00024590           3P     2P     2P -7777P     0P -7777S     3S     4P     2S     2S     1P     4P
USC00024675           5C     4C     5S -7777C     1C     1C    15C    12C     6S     4S     2S     7C
USC00024702       -7777C     1C     1C -7777C -7777C     0S     1C     1C     1S     1C     1C     1C
USC00024761           1P     0P     1P     0P     0P     0P     0P     1P     2P     1P     1P     2P
USC00024829           1C     1C     1C -7777S     0C     0C     4C     3C     1S     1C     1C     2C
USC00024849       -7777P     0S -7777P     0P -7777P     0S     1P     1P     1P     1P     0P     0P
USC00024977           2P     2P     1P -7777P     0P     0P     1P     3P     3P -7777P     2P     2P
USC00025129       -7777P -7777P     1P -7777P -7777S     0S     3S     1P     1S     2S -7777P     2P
USC00025270           1C -7777C     1C     0S -7777C     0C     2C     1C     1C     1C     1C     2C
USC00025412           4C     3S     3C     1S     1C     1C     4S     6C     5C     6S     4C     6S
USC00025418           1C     0C     0C -7777C     0S -7777C     1C     7C     2C     1C     1S     2S
USC00025467           3C     2C     2C     0C     0C     0S     2C     2S     2C     1C     1C     1C
USC00025512           6S     4S     3S     1S     0S     0S     5S     6S     4S     4S     3S     5S
USC00025635           3S     2S     1S -7777C -7777S     0C     3C     3C     4S     2S     2S     2S
USC00025665           1S -7777S     0P     0S     0P     0S     1S     1S -7777S     2S     1P     0P
USC00025700           5S     2S     4S     1P     0S     0S     2S     3S     2S     2S     2S     5P
USC00025780           9P     9P     6P     2P     0P -7777P     4P     6P     5P     5P     5P     6P
USC00025908           1P     2P     2P     0P     0P     0P     5P     5P     5P     5P     0P     2P
USC00025924           1C     1C     1C     2C     0C     1C    10C     8S     4S     5S     1S     2S
USC00026037          13S    11S     8S     7S     1S     0S     4S     6S    10S     6S     7S     9S
USC00026119           6S     5C     5C     2C     1S     0S     7S    12S     4S     3S     4S     6S
USC00026132           1C     1C     1C     1C     0C -7777C     3C     7C     2C     1C     1C     3S
USC00026180           1S     0S     0S     0S -7777S     0S     0S     0S -7777S     1S     0S     0S
USC00026190           1S -7777S     0S -7777C -7777S -7777S     1S     3S     2S     1S -7777S     1S
USC00026250           1S     1C -7777C     0C     0S     0S     1S     1S     2S     1S -7777S     1S
USC00026282           3C     1C     1C     1C     0C -7777S     9C     7C     2C     3C     1S     2S
USC00026328           0P     2P     1P     1P     1P     0P     2P     2P     2P     2P     2P     2P
USC00026353       -7777P     0P     0P     0P     0P -7777P     5P     6P     2P     1P     1P     0P
USC00026468       -7777S -7777C     1C     0C     0C     0C     3C     2C     2C     0C -7777C -7777S
USC00026471           0S -7777C -7777C     0C     0C     0C     1S     2S     1S     2S -7777S     1C
USC00026513           2P     2P -7777P     1P     0P -7777P     2P     3P     0P -7777P     1P     2P
USC00026597           3P     2P     1P     1P     1P     0P     5P     8P     6P     3P     5P     3P
USC00026601           4C     3C     3C     1C     1C     1C     5S     5C     3C     6C     3C     6C
USC00026616           1S     1S     1C -7777C     0C     0C     1S     4C     1C     2C     1C     1C
USC00026653           7S     4S     3C     2S     0S     0S     6S     8S     5S     4C     4S     4S
USC00026716           2S     1C -7777C     1C     1C     1C     9C    10C     5S     3C     4S     3S
USC00026796           4S     4C     3S     1S     0C     0C     6C     7C     5C     2S     3C     3C
USC00026840           6S     5S     5C     1S -7777S -7777S     1S     4S     3S     3S     5S     5S
USC00026865       -7777P -7777P -7777P     0P     0P     0P -7777P     2P     0P -7777P -7777P     1P
USC00027036           2S     3S     1S     1S -7777S -7777S     8S     5S     3S     3S -7777S     3S
USC00027281           6C     4C     5S     1S     1C     0S     4S     4C     3C     2C     2S     6C
USC00027334           2S     1S -7777S -7777S     1S     3S    12S    11C     4S     3S     2S     4S
USC00027370           1P     2S     1P     0S     0S     0P     4P     3P     2P     2P     1P     2P
USC00027390       -7777C -7777C     0C     0C     0C -7777C     1C     4C     2C     2C     1S     1C
USC00027435           1S     0C -7777S     0C -7777C     0S     2C     5C     1C     1C -7777S -7777C
USC00027462           2P     1P     1P     0P     0P     0P     3P     3P     1P     0P     0P     1P
